Accuracy,Epsilon
0.5612472160356348,1.0
0.576837416481069,1.0
0.6057906458797327,1.0
0.5634743875278396,1.0
0.5812917594654788,1.0
0.5812917594654788,1.0
0.576837416481069,1.0
0.5924276169265034,1.0
0.5545657015590201,1.0
0.576837416481069,1.0
0.5924276169265034,1.0
0.5857461024498887,1.0
0.5634743875278396,1.0
0.6013363028953229,1.0
0.5835189309576837,1.0
0.5835189309576837,1.0
0.5857461024498887,1.0
0.5902004454342984,1.0
0.5701559020044543,1.0
0.5991091314031181,1.0
0.5879732739420935,1.0
0.5812917594654788,1.0
0.5968819599109132,1.0
0.5879732739420935,1.0
0.5857461024498887,1.0
0.5946547884187082,1.0
0.579064587973274,1.0
0.576837416481069,1.0
0.5634743875278396,1.0
0.6124721603563474,1.0
0.5835189309576837,1.0
0.5924276169265034,1.0
0.5723830734966593,1.0
0.6035634743875279,1.0
0.579064587973274,1.0
0.5723830734966593,1.0
0.5612472160356348,1.0
0.5835189309576837,1.0
0.5723830734966593,1.0
0.5835189309576837,1.0
0.5879732739420935,1.0
0.5924276169265034,1.0
0.5857461024498887,1.0
0.579064587973274,1.0
0.579064587973274,1.0
0.5746102449888641,1.0
0.5478841870824054,1.0
0.5968819599109132,1.0
0.5701559020044543,1.0
0.5812917594654788,1.0
0.5968819599109132,1.0
0.5723830734966593,1.0
0.5991091314031181,1.0
0.5701559020044543,1.0
0.5723830734966593,1.0
0.5968819599109132,1.0
0.5879732739420935,1.0
0.5812917594654788,1.0
0.579064587973274,1.0
0.5679287305122495,1.0
0.5902004454342984,1.0
0.5746102449888641,1.0
0.5746102449888641,1.0
0.5723830734966593,1.0
0.5701559020044543,1.0
0.5590200445434298,1.0
0.5924276169265034,1.0
0.5746102449888641,1.0
